Country,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,max_infection_rate,min_infect_rate
"Korea, South",0.0,50.0,0.0,33.333,25.0,0.0,0.0,0.0,63.636,8.333,20.0,0.0,6.25,15.789,17.391,4.167,0.0,4.0,7.407,3.571,0.0,0.0,0.0,0.0,3.448,3.333,3.226,0.0,70.192,49.02,52.887,28.073,27.731,14.739,22.522,28.596,24.433,25.81,15.685,13.818,16.41,7.739,7.671,7.66,6.363,3.733,2.193,0.466,3.121,1.449,1.379,1.323,0.931,0.898,1.01,1.105,1.775,1.006,1.671,1.808,0.0,0.841,1.094,1.125,0.975,1.54,1.096,0.807,1.277,1.022,0.892,0.855,0.926,0.791,0.457,0.455,0.51,0.374,0.258,0.286,0.304,0.237,0.256,0.255,0.207,0.207,0.169,0.075,0.122,0.084,0.103,0.131,0.093,0.093,0.093,0.13,0.084,0.037,0.084,0.056,0.12,0.074,0.028,0.019,0.037,0.111,0.166,0.313,0.321,0.247,0.237,0.264,0.245,0.172,0.118,0.136,0.117,0.288,0.108,70.192,0.0
Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17.442,5.495,3.191,0.0,16.071,10.4,0.0,0.794,6.667,6.897,0.0,14.706,7.609,0.0,26.4,11.661,0.0,0.0,26.873,0.0,13.808,6.458,5.882,9.091,6.187,0.993,4.127,5.83,4.836,3.83,4.194,2.179,1.266,1.126,0.868,0.0,2.066,3.29,0.468,0.117,0.0,0.581,0.0,0.116,0.92,1.584,3.808,0.0,2.648,0.0,0.0,1.152,0.0,3.438,0.0,100.0,0.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.909,57.692,39.535,4.444,0.0,0.0,19.643,0.0,0.0,3.448,0.0,4.918,4.688,0.0,7.246,4.167,10.0,0.0,23.077,7.143,8.943,5.385,8.451,4.054,6.918,9.659,6.383,0.529,1.047,2.051,6.25,7.556,4.255,7.843,4.135,7.958,8.833,7.31,17.986,12.944,13.849,16.391,10.498,13.099,6.044,8.359,13.951,6.483,5.077,4.059,3.559,7.808,8.082,5.311,8.564,4.01,4.087,7.473,6.294,8.225,9.613,5.951,6.478,4.419,8.021,7.058,8.065,5.239,7.305,5.589,9.063,7.712,4.233,8.893,5.444,12.258,6.44,9.643,6.81,7.908,6.882,6.825,7.057,5.36,6.401,4.577,100.0,0.0
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,57.143,0.0,12.5,61.905,4.545,0.0,24.138,0.0,30.952,10.638,12.15,3.604,4.31,10.769,9.722,2.041,31.944,5.263,15.556,3.571,6.04,12.094,10.08,10.024,2.558,4.232,3.648,4.703,3.36,8.664,2.465,3.729,3.595,3.011,5.113,0.0,2.493,1.871,1.836,2.881,2.279,1.323,1.691,3.27,4.217,1.542,3.215,2.682,1.214,2.685,7.086,1.378,2.025,0.67,3.512,2.61,0.537,1.845,6.414,2.172,2.126,100.0,0.0
Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.333,50.0,0.0,25.0,0.0,0.0,11.111,10.0,0.0,0.0,0.0,9.091,8.333,14.286,6.667,6.25,0.0,11.111,5.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,66.667,25.0,20.0,0.0,41.176,34.615,13.333,11.765,30.612,30.986,17.442,22.523,10.484,10.791,22.778,8.629,10.86,9.426,12.857,8.197,12.104,7.713,5.528,10.762,2.62,7.099,3.143,4.503,1.661,1.095,5.026,2.037,3.758,2.857,3.226,0.611,0.304,1.351,1.333,1.026,4.213,2.063,1.624,1.203,1.708,2.185,0.765,2.488,0.985,0.733,2.153,1.531,1.049,1.379,0.115,0.91,1.897,0.0,0.444,0.99,2.047,0.215,0.958,0.74,0.421,0.105,1.143,0.825,2.708,1.091,0.099,0.296,0.394,100.0,0.0
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,60.0,23.077,0.0,0.0,18.75,27.273,0.0,31.25,0.0,21.951,32.787,0.0,20.779,17.204,15.455,0.0,8.333,9.774,15.287,3.681,12.834,24.597,7.116,16.038,4.505,9.511,5.882,5.097,5.936,1.794,5.106,1.879,3.036,2.756,2.308,1.328,2.588,1.277,4.861,1.031,4.433,1.616,1.746,0.316,1.404,2.584,0.754,0.749,0.595,0.149,0.591,0.0,0.733,0.872,1.149,1.136,0.424,0.423,0.976,0.555,0.552,0.549,0.546,0.543,0.405,0.135,1.2,4.337,1.508,1.607,4.26,1.63,1.264,0.911,0.903,0.561,1.22,0.988,2.148,2.411,0.728,100.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,14.286,30.0,23.077,7.143,0.0,54.839,0.0,16.216,22.917,4.0,15.254,0.0,0.0,0.0,22.368,0.0,16.484,8.081,1.98,0.0,0.0,13.675,2.5,3.226,0.0,12.057,0.0,0.0,7.237,1.299,2.532,4.819,2.353,4.494,5.82,5.025,0.0,0.0,5.687,0.0,0.939,0.93,1.826,1.794,1.327,1.31,1.717,2.101,100.0,0.0
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,66.667,62.5,0.0,20.0,0.0,9.091,0.0,38.889,0.0,5.263,5.0,4.762,12.5,0.0,0.0,4.0,3.846,25.714,27.083,2.041,0.0,0.0,3.922,0.0,0.0,13.559,1.667,1.639,0.0,0.0,0.0,0.0,0.0,0.0,3.175,0.0,0.0,0.0,0.0,1.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538,0.0,0.0,4.412,1.449,100.0,0.0
