Country,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,max_infection_rate,min_infect_rate
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,45.833,0.0,0.0,0.0,41.667,0.0,38.056,33.843,0.0,31.176,27.557,24.69,23.635,20.337,19.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.652,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,52.5,33.333,0.0,0.0,0.0,0.0,0.0,0.0,33.333,28.205,0.0,27.023,0.0,27.051,23.157,0.0,0.0,0.0,23.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.372,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,24.07,0.0,0.0,22.882,0.0,0.0,23.416,22.67,19.89,18.642,0.0,17.833,0.0,17.152,0.0,0.0,0.0,0.0,0.0,0.0,20.918,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,45.833,0.0,41.667,0.0,0.0,0.0,38.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,32.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.279,27.747,25.996,23.69,20.311,0.0,0.0,0.0,0.0,0.0,26.003,0.0
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,44.444,42.5,0.0,35.818,0.0,31.237,0.0,29.632,26.06,23.14,19.854,17.666,16.4,16.385,15.495,13.666,12.254,11.995,10.932,10.231,9.696,9.25,8.748,8.647,8.401,7.724,7.502,7.699,6.747,6.551,6.525,6.339,6.069,6.008,5.806,5.502,5.364,5.206,5.137,4.952,4.731,4.897,4.769,4.517,4.461,4.305,4.155,4.097,4.006,3.928,4.076,3.828,3.704,3.663,3.553,3.578,3.493,3.411,3.312,3.341,3.199,3.168,3.13,3.066,3.03,2.982,2.902,2.87,2.887,4.166,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,44.444,0.0,0.0,43.333,32.381,28.283,21.245,20.139,17.593,13.733,12.471,13.743,13.309,11.61,9.176,9.97,8.276,8.411,7.317,7.059,7.273,6.431,6.672,6.065,5.829,5.455,5.452,5.046,4.846,4.597,4.397,4.535,4.191,4.107,3.946,3.836,3.772,3.58,3.528,3.394,3.371,3.267,3.2,3.06,3.004,2.952,2.877,2.844,2.733,2.754,2.653,2.624,2.54,2.571,2.507,2.405,2.395,2.316,2.321,2.239,2.22,2.182,2.149,2.098,2.071,2.037,2.002,1.976,1.957,1.916,1.897,1.866,1.835,1.812,1.787,3.07,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.333,0.0,0.0,0.0,0.0,14.583,0.0,0.0,0.0,22.436,0.0,0.0,0.0,0.0,0.0,0.0,20.919,0.0,0.0,21.502,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,18.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.812,0.0,0.0,0.0,0.0,0.0,15.647,0.0,0.0,0.0,22.677,0.0
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,53.846,0.0,50.705,41.319,36.073,31.961,29.615,30.436,0.0,28.465,27.215,26.606,23.234,23.431,20.97,19.84,19.408,17.722,16.627,15.764,15.184,14.477,13.891,13.195,12.661,12.668,12.109,11.66,11.16,10.856,10.355,10.096,9.947,9.667,9.336,9.018,8.719,8.535,8.295,8.144,8.037,7.766,7.655,7.455,7.233,7.082,6.943,6.813,6.732,6.581,6.485,6.311,6.204,6.12,6.016,5.921,5.767,5.664,5.565,5.501,5.408,5.369,5.254,5.187,5.085,4.983,4.911,4.852,4.804,4.739,4.693,4.601,4.506,4.479,4.427,4.379,5.504,0.0
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,63.636,0.0,65.295,39.682,35.152,28.331,24.31,23.173,20.024,17.705,16.411,15.122,13.872,13.561,12.218,11.488,10.654,10.267,9.784,9.128,8.748,8.367,8.017,7.666,7.371,0.0,0.0,0.0,0.0,0.0,7.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897,6.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.461,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.204,0.0
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,47.619,0.0,53.106,37.352,27.078,20.683,20.656,18.892,14.499,15.349,13.745,11.976,10.702,10.044,9.548,8.894,8.486,8.123,7.36,6.975,6.949,6.448,6.272,5.945,5.632,5.486,5.219,5.093,4.852,4.739,4.548,4.448,4.263,4.123,4.077,3.984,3.934,3.802,3.663,3.528,3.491,3.432,3.356,3.322,3.347,3.062,3.061,3.01,2.909,2.866,2.823,2.755,2.691,2.624,2.588,2.56,2.535,2.469,2.419,2.384,2.34,2.288,2.258,2.232,2.187,2.159,2.126,2.094,2.056,2.027,2.004,3.327,0.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.667,0.0,0.0,0.0,20.833,26.0,0.0,25.833,24.199,18.438,18.611,14.467,14.022,11.93,11.686,9.568,9.704,8.94,8.045,7.764,7.145,6.872,6.29,6.12,5.871,5.743,5.409,5.2,5.083,4.877,0.0,5.001,4.639,0.0,4.678,4.43,4.239,4.151,4.017,3.919,3.784,3.745,3.606,3.507,3.445,0.0,3.374,3.295,3.22,3.149,3.084,3.018,2.952,2.913,2.854,2.815,2.824,2.683,2.635,2.578,2.529,2.498,2.448,2.409,0.0,2.384,2.334,2.321,0.0,0.0,2.31,3.811,0.0
