Country,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,max_infection_rate,min_infect_rate
Burma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,40.0,32.143,21.333,0.0,21.944,0.0,19.49,0.0,17.622,0.0,0.0,16.147,15.579,15.447,12.358,13.45,10.183,10.389,9.62,8.493,8.399,8.036,7.385,6.792,6.482,6.63,6.019,5.694,0.0,0.0,5.577,0.0,5.395,0.0,0.0,5.295,5.152,0.0,0.0,5.264,4.838,4.686,4.561,0.0,0.0,4.443,0.0,4.332,0.0,4.242,4.197,4.017,3.965,6.29,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,44.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.333,37.473,0.0,0.0,44.42,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.222,0.0,0.0,0.0,22.917,0.0,22.333,0.0,21.389,0.0,0.0,0.0,0.0,0.0,20.374,0.0,0.0,0.0,0.0,0.0,0.0,19.39,0.0,19.458,16.421,21.407,0.0,0.0,19.91,18.492,17.459,15.797,15.145,14.497,13.461,12.51,12.529,11.344,10.903,0.0,10.68,10.028,10.384,9.529,9.095,8.778,8.361,8.408,7.906,7.575,7.392,7.213,6.928,6.874,6.706,6.401,6.166,0.0,0.0,6.064,5.963,8.106,0.0
Cambodia,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,45.833,0.0,44.667,35.317,0.0,0.0,41.527,27.202,24.145,23.935,19.607,20.734,16.566,15.45,14.474,0.0,13.759,0.0,13.178,12.438,11.683,0.0,11.144,10.737,0.0,0.0,0.0,10.289,9.878,9.465,0.0,9.12,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.178,0.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.0,0.0,38.846,35.0,29.491,26.944,23.857,20.468,18.5,0.0,18.429,0.0,19.58,0.0,20.14,18.205,17.528,17.444,14.863,14.436,13.111,0.0,12.963,0.0,12.877,0.0,0.0,0.0,12.478,0.0,12.573,0.0,12.169,0.0,12.183,0.0,0.0,12.206,11.575,11.158,10.816,10.434,0.0,10.328,0.0,0.0,10.371,0.0,10.111,0.0,10.028,9.567,0.0,9.323,9.38,8.952,0.0,8.83,8.65,8.44,0.0,0.0,8.521,0.0,8.454,10.325,0.0
Canada,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,44.0,0.0,41.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.296,0.0,0.0,0.0,34.023,0.0,0.0,31.354,28.127,0.0,26.969,24.035,23.944,21.281,19.492,18.205,17.08,16.227,16.093,14.527,14.138,13.553,12.339,12.839,11.559,12.333,10.511,10.811,11.053,9.815,9.952,9.348,8.983,9.042,8.41,8.637,8.282,7.775,7.714,7.374,7.251,6.964,6.893,6.693,6.491,6.447,6.182,5.947,6.1,5.723,5.659,5.537,5.445,5.327,5.212,5.095,5.029,4.936,4.838,4.829,4.711,4.609,4.522,4.479,4.395,4.344,4.254,4.189,4.122,4.068,4.007,3.948,3.897,3.84,3.795,3.737,3.708,3.636,3.586,3.544,3.501,3.457,3.411,3.368,3.328,3.289,3.251,3.215,3.178,3.143,3.107,3.072,3.039,3.006,4.013,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,55.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.288,0.0,44.129,0.0,0.0,0.0,0.0,0.0,39.866,0.0,36.445,0.0,0.0,34.15,0.0,36.935,0.0,0.0,36.355,0.0,0.0,34.6,0.0,32.675,0.0,32.788,0.0,0.0,0.0,0.0,0.0,0.0,34.102,29.187,0.0,0.0,28.097,26.635,29.842,0.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,55.556,0.0,0.0,0.0,0.0,0.0,51.667,39.048,0.0,34.623,0.0,31.264,0.0,0.0,28.606,0.0,26.438,0.0,0.0,27.683,23.607,0.0,0.0,22.874,0.0,22.514,0.0,0.0,0.0,0.0,0.0,22.155,20.381,0.0,0.0,19.829,0.0,20.354,0.0,21.313,0.0,0.0,21.832,0.0,22.381,19.881,19.73,0.0,0.0,19.299,18.254,17.633,16.955,16.436,15.708,15.074,14.628,14.116,16.689,0.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,58.333,0.0,0.0,56.25,0.0,52.692,44.746,0.0,44.999,37.248,31.783,32.074,26.488,23.669,0.0,25.322,21.658,19.937,18.707,17.83,16.849,15.61,15.145,14.271,13.399,12.899,12.274,11.748,11.345,10.849,10.508,10.033,9.706,9.352,9.118,8.823,8.593,8.291,8.0,7.788,7.605,7.393,7.252,7.045,6.879,6.688,6.546,6.378,6.264,6.136,6.001,5.884,5.751,5.638,5.536,5.425,5.391,5.269,5.21,5.092,4.979,4.92,4.808,4.758,4.667,4.581,4.527,4.431,4.383,4.355,4.282,4.208,4.123,4.076,4.013,3.988,3.94,5.12,0.0
China,15.335,9.896,5.822,3.276,6.6,-0.88,1.494,0.272,0.31,1.372,0.08,0.172,-0.09,-0.32,-0.296,-0.464,-0.424,-0.49,-0.537,-0.697,0.5,-0.229,-0.512,-0.491,-0.485,-0.476,-0.527,-0.506,-0.488,-0.43,-0.476,-0.453,-0.428,-0.419,-0.406,-0.399,-0.385,-0.37,-0.372,-0.365,-0.357,-0.347,-0.339,-0.334,-0.327,-0.32,-0.314,-0.307,-0.301,-0.295,-0.289,-0.283,-0.278,-0.273,-0.268,-0.263,-0.257,-0.254,-0.248,-0.245,-0.24,-0.237,-0.232,-0.229,-0.225,-0.222,-0.219,-0.216,-0.213,-0.21,-0.207,-0.205,-0.201,-0.199,-0.196,-0.193,-0.191,-0.189,-0.186,-0.183,-0.181,-0.179,-0.177,-0.175,-0.169,-0.171,-0.17,-0.168,-0.166,-0.164,-0.162,-0.16,-0.159,-0.157,-0.155,-0.154,-0.152,-0.151,-0.149,0.0,-0.148,-0.146,-0.145,-0.143,-0.142,-0.141,-0.139,-0.138,-0.137,-0.135,-0.134,-0.133,-0.132,-0.131,-0.129,-0.128,0.0,0.0,0.285,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,55.556,41.667,0.0,39.487,34.596,28.852,25.463,20.399,19.678,15.954,15.582,15.489,12.987,12.218,12.087,10.955,9.497,9.241,8.901,8.574,8.123,7.765,7.567,6.997,6.732,6.539,6.142,5.952,5.932,5.807,5.446,5.357,5.158,4.831,4.704,4.62,4.493,4.375,4.316,0.0,4.438,4.222,4.112,4.032,3.937,3.896,3.782,3.689,3.603,3.571,3.467,3.409,3.392,3.268,3.23,3.151,3.159,3.043,3.015,2.976,2.9,2.868,2.816,2.782,2.735,2.692,2.641,2.61,2.561,2.53,2.485,2.457,3.735,0.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,55.556,0.0,0.0,0.0,57.292,0.0,0.0,51.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.014,50.92,0.0
Congo (Brazzaville),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,55.556,0.0,0.0,0.0,47.917,0.0,0.0,0.0,0.0,0.0,54.123,0.0,0.0,0.0,47.375,0.0,0.0,47.909,0.0,0.0,0.0,45.045,0.0,0.0,0.0,0.0,0.0,45.453,0.0,42.726,0.0,0.0,39.808,35.858,33.735,0.0,31.825,0.0,0.0,0.0,29.929,0.0,28.428,26.639,0.0,0.0,25.324,0.0,24.549,0.0,23.504,0.0,0.0,23.229,0.0,0.0,22.847,0.0,0.0,0.0,22.075,21.023,0.0,24.182,0.0
Congo (Kinshasa),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,45.833,35.0,36.905,24.603,21.467,19.259,16.667,15.455,13.021,11.991,0.0,12.673,0.0,13.145,12.173,11.03,10.893,0.0,11.003,0.0,10.671,10.458,0.0,0.0,10.723,9.705,9.347,8.802,8.543,8.324,8.017,7.813,7.538,7.282,6.91,6.811,6.533,6.411,6.22,6.079,5.934,5.726,5.554,5.456,5.566,5.231,5.227,0.0,5.137,5.071,5.139,4.951,4.855,0.0,4.867,4.728,4.711,4.597,4.514,4.404,4.441,0.0,4.458,4.384,4.315,5.812,0.0
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,60.0,36.111,0.0,35.043,30.892,21.256,19.498,16.461,16.73,14.462,13.537,13.229,11.923,11.225,9.821,9.39,8.621,8.231,7.872,7.458,7.059,6.543,6.22,5.974,5.843,5.546,5.33,5.131,4.954,4.749,4.617,4.492,4.45,4.224,4.104,3.986,3.874,3.729,3.643,3.584,3.465,3.38,3.3,3.217,3.163,3.111,3.024,2.951,2.906,2.838,2.783,2.747,2.696,2.641,2.594,2.553,2.504,2.455,2.436,2.381,2.338,2.309,2.271,2.246,2.206,2.161,2.144,2.12,2.086,2.051,2.022,1.983,1.976,1.948,3.216,0.0
Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,29.167,26.667,0.0,28.174,0.0,30.435,29.35,19.755,18.571,15.818,0.0,17.732,13.522,12.867,11.986,11.004,10.883,10.279,9.48,9.66,8.64,8.323,8.153,0.0,8.509,7.786,7.531,7.015,0.0,6.851,6.701,6.783,6.285,0.0,6.324,6.018,5.882,5.76,0.0,5.776,5.481,5.348,5.283,5.113,5.023,4.851,4.748,4.636,4.529,4.457,4.364,4.24,4.194,4.071,3.987,4.008,3.858,3.789,3.707,3.638,3.577,3.484,3.444,3.418,4.944,0.0
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.222,0.0,26.667,16.667,13.492,0.0,14.739,11.369,0.0,11.116,9.929,0.0,0.0,10.325,10.467,0.0,12.787,10.099,9.87,8.727,8.112,8.075,7.814,7.179,7.784,6.568,6.303,5.964,5.567,5.243,5.227,4.872,4.602,4.512,4.338,4.237,3.95,3.88,3.708,3.621,3.483,3.428,3.337,3.254,3.207,3.051,3.017,2.923,2.862,2.777,2.732,2.643,2.583,2.554,2.473,2.443,2.41,2.355,2.309,2.249,2.216,2.173,2.135,2.105,2.07,2.033,1.996,1.969,1.936,1.911,1.88,1.851,1.844,1.804,1.776,1.75,1.727,1.701,1.679,1.653,1.632,1.611,1.591,1.572,1.552,2.751,0.0
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.333,0.0,0.0,0.0,11.25,10.714,10.227,8.036,6.101,7.222,3.75,3.788,3.399,3.071,2.946,3.852,2.462,2.543,1.867,1.961,1.701,1.828,1.436,1.522,1.399,1.465,1.475,1.343,1.203,1.174,1.077,1.06,0.944,0.936,0.899,0.903,0.872,0.804,0.784,0.754,0.734,0.701,0.688,0.672,0.621,0.588,0.616,0.575,0.568,0.558,0.592,0.535,0.503,0.491,0.483,0.482,0.459,0.452,0.443,0.44,0.436,0.415,0.421,0.405,0.409,0.393,0.386,0.378,0.378,1.812,0.0
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.111,12.5,0.0,21.429,16.026,0.0,16.767,15.552,11.364,12.302,0.0,13.023,11.217,10.856,9.248,8.605,8.288,7.817,7.362,7.336,6.499,6.44,6.416,5.788,5.547,5.202,4.904,4.708,4.603,4.452,4.325,4.136,3.951,3.809,3.747,3.651,3.495,3.398,3.29,3.191,3.095,3.016,2.966,2.879,2.81,2.759,2.69,2.636,2.576,2.547,2.475,2.428,2.381,2.336,2.295,2.241,2.205,2.168,2.133,2.089,2.052,2.028,1.99,1.956,1.926,1.896,1.869,1.843,1.812,1.784,1.759,1.739,3.098,0.0
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,46.667,34.375,26.667,22.222,15.038,17.339,0.0,18.122,19.366,12.9,14.337,12.624,11.715,10.254,10.216,9.021,9.547,8.179,7.75,7.137,6.732,6.524,6.435,6.112,5.932,5.633,5.19,4.995,4.933,4.658,4.618,4.376,4.33,4.035,3.988,3.854,3.796,3.675,3.539,3.425,3.366,3.252,3.172,3.12,3.089,2.989,2.908,2.873,2.819,2.757,2.694,2.632,2.591,2.542,2.49,2.443,2.405,2.368,2.334,2.286,2.241,2.207,2.175,2.149,2.116,2.081,2.048,2.014,1.987,1.963,1.934,1.908,1.888,1.858,1.833,1.804,1.795,1.765,1.744,2.947,0.0
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,55.556,31.25,0.0,31.667,28.409,0.0,32.089,0.0,32.47,31.601,28.977,24.106,21.055,19.068,16.318,15.272,14.427,13.741,12.932,12.291,11.65,10.975,10.492,9.927,9.713,9.294,8.945,8.617,8.273,8.012,7.718,7.547,7.258,7.047,6.885,6.634,6.417,6.245,6.106,5.911,5.715,5.553,5.416,5.289,5.155,5.056,4.937,4.839,4.735,4.63,4.53,4.438,4.364,4.289,4.196,4.114,4.06,3.967,3.897,3.836,3.772,3.709,3.649,3.581,3.528,3.479,3.426,3.37,3.324,3.274,3.223,3.178,3.131,3.087,3.045,3.001,2.965,2.925,2.888,2.848,2.816,2.781,3.959,0.0
Diamond Princess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,34.896,38.148,0.0,35.09,0.0,32.529,28.423,24.396,21.917,19.169,17.106,14.792,0.0,0.0,14.288,0.0,0.0,13.41,0.0,0.0,0.0,0.0,0.0,12.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.984,0.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,55.556,0.0,59.848,0.0,49.545,42.28,37.374,0.0,37.702,30.079,27.912,25.453,21.968,21.298,21.147,0.0,21.96,0.0,21.212,20.54,19.001,18.82,17.365,16.474,16.172,15.159,0.0,15.089,0.0,14.904,14.043,13.457,12.98,12.518,12.12,11.719,11.424,10.988,10.683,10.367,10.097,0.0,9.833,9.575,9.329,9.107,8.87,8.762,8.493,8.292,8.129,7.922,7.76,7.612,7.452,7.369,7.278,7.109,7.075,8.583,0.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.667,0.0,30.357,17.273,0.0,0.0,0.0,0.0,15.783,0.0,0.0,0.0,15.569,0.0,14.456,0.0,0.0,0.0,13.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19,0.0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0,52.909,0.0,0.0,52.027,0.0,50.057,45.618,38.653,35.672,29.974,27.803,25.582,23.703,21.878,20.71,19.321,17.601,17.417,16.29,15.196,14.519,0.0,14.528,13.498,13.039,12.568,12.206,11.777,11.188,10.881,10.508,10.095,9.954,9.505,9.383,9.007,8.832,8.556,8.231,8.106,7.898,7.691,7.498,7.337,7.154,6.986,6.872,6.75,6.607,6.465,6.356,6.208,6.081,5.984,5.865,5.757,5.694,5.585,5.46,5.364,5.28,5.17,5.127,5.039,4.94,4.889,4.824,4.725,6.079,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,38.095,32.5,24.615,0.0,0.0,21.703,18.535,0.0,17.689,0.0,0.0,20.088,0.0,20.512,19.727,19.045,17.309,16.184,13.884,13.541,11.786,10.563,9.924,9.859,9.183,8.786,8.089,7.614,7.728,7.665,7.182,6.674,6.331,6.192,5.919,0.0,6.228,5.875,6.299,5.28,5.175,4.982,4.854,4.788,4.699,4.54,4.52,4.377,4.318,4.135,4.079,3.967,4.881,0.0,0.0,4.827,4.769,4.627,4.525,4.521,4.414,4.387,4.315,0.0,0.0,0.0,0.0,4.344,4.283,0.0,4.264,4.147,4.076,4.059,4.008,3.904,3.843,3.791,3.74,5.126,0.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,45.833,46.0,0.0,49.898,34.416,29.598,25.741,24.045,22.386,21.384,17.762,18.333,16.898,0.0,17.307,15.508,14.252,13.872,13.206,12.496,12.06,11.363,10.88,10.417,9.957,9.653,9.324,9.046,8.78,8.569,8.169,7.947,7.786,7.494,7.237,7.072,6.81,6.691,6.489,6.321,6.197,6.039,5.904,5.766,5.645,5.469,5.399,5.265,5.162,5.087,4.969,4.882,4.782,4.703,4.618,4.522,4.454,4.399,4.305,4.224,4.171,4.109,4.04,3.975,3.929,3.864,3.796,3.725,3.67,3.616,3.571,3.521,3.482,3.435,3.39,3.361,3.317,4.474,0.0
